,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
44,2022-01-11,336.368225411324,290.62480645940286,376.03832656012423,336.368225411324,336.368225411324,-4.123814158386916,-4.123814158386916,-4.123814158386916,-4.123814158386916,-4.123814158386916,-4.123814158386916,0.0,0.0,0.0,332.2444112529371
45,2022-01-12,335.9329412483017,294.01381318840123,374.26872546211155,335.9329412483017,335.9329412483017,-2.9494240289818814,-2.9494240289818814,-2.9494240289818814,-2.9494240289818814,-2.9494240289818814,-2.9494240289818814,0.0,0.0,0.0,332.9835172193198
46,2022-01-13,335.49765708527934,288.4015878244451,370.0157543377723,335.49765708527934,335.49765708527934,-5.917434928134799,-5.917434928134799,-5.917434928134799,-5.917434928134799,-5.917434928134799,-5.917434928134799,0.0,0.0,0.0,329.58022215714453
47,2022-01-14,335.06237292225705,285.3865805300804,367.7627164838509,335.06237292225705,335.06237292225705,-8.50134204287114,-8.50134204287114,-8.50134204287114,-8.50134204287114,-8.50134204287114,-8.50134204287114,0.0,0.0,0.0,326.5610308793859
48,2022-01-18,333.32123627016784,290.10465799114473,368.9416751004459,333.32123627016784,333.32123627016784,-4.123814158394031,-4.123814158394031,-4.123814158394031,-4.123814158394031,-4.123814158394031,-4.123814158394031,0.0,0.0,0.0,329.1974221117738
49,2022-01-19,332.88595210782216,288.1121768986088,373.4910468819972,332.88595210782216,332.88595210782216,-2.9494240289792555,-2.9494240289792555,-2.9494240289792555,-2.9494240289792555,-2.9494240289792555,-2.9494240289792555,0.0,0.0,0.0,329.9365280788429
50,2022-01-20,332.4506679454765,279.1656524546292,366.7791636450191,332.4506679454765,332.4506679454765,-5.917434928139317,-5.917434928139317,-5.917434928139317,-5.917434928139317,-5.917434928139317,-5.917434928139317,0.0,0.0,0.0,326.5332330173372
51,2022-01-21,332.0153837831308,281.05151804358377,367.21894534168524,332.0153837831308,332.0153837831308,-8.501342042861717,-8.501342042861717,-8.501342042861717,-8.501342042861717,-8.501342042861717,-8.501342042861717,0.0,0.0,0.0,323.5140417402691
52,2022-01-24,330.7095312960938,287.49020026353594,375.3382508450154,330.7095312960938,330.7095312960938,-1.6515499485410916,-1.6515499485410916,-1.6515499485410916,-1.6515499485410916,-1.6515499485410916,-1.6515499485410916,0.0,0.0,0.0,329.0579813475527
53,2022-01-25,330.27424713374813,283.8356699971827,366.58450331015865,330.27424713374813,330.27424713374813,-4.123814158374288,-4.123814158374288,-4.123814158374288,-4.123814158374288,-4.123814158374288,-4.123814158374288,0.0,0.0,0.0,326.15043297537386
54,2022-01-26,329.8389629714024,285.43757475785077,369.2873202919573,329.8389629714024,329.8389629714024,-2.9494240289824845,-2.9494240289824845,-2.9494240289824845,-2.9494240289824845,-2.9494240289824845,-2.9494240289824845,0.0,0.0,0.0,326.8895389424199
55,2022-01-27,329.40367880905677,281.0050596011032,363.8564398810252,329.40367880905677,329.40367880905677,-5.917434928143836,-5.917434928143836,-5.917434928143836,-5.917434928143836,-5.917434928143836,-5.917434928143836,0.0,0.0,0.0,323.4862438809129
56,2022-01-28,328.96839464671115,277.61354146766155,362.25282604971835,328.96839464671115,328.96839464671115,-8.50134204285229,-8.50134204285229,-8.50134204285229,-8.50134204285229,-8.50134204285229,-8.50134204285229,0.0,0.0,0.0,320.46705260385886
57,2022-01-31,327.6625422502784,281.767547363992,368.3021098332988,327.6625422502784,327.6625422502784,-1.651549948553371,-1.651549948553371,-1.651549948553371,-1.651549948553371,-1.651549948553371,-1.651549948553371,0.0,0.0,0.0,326.010992301725
58,2022-02-01,327.22725811813416,285.2812556842458,367.70211011808107,327.22725811813416,327.22725811813416,-4.123814158381402,-4.123814158381402,-4.123814158381402,-4.123814158381402,-4.123814158381402,-4.123814158381402,0.0,0.0,0.0,323.1034439597528
59,2022-02-02,326.79197398598996,283.4511886885321,367.57498234238506,326.79197398598996,326.79197398598996,-2.949424028976199,-2.949424028976199,-2.949424028976199,-2.949424028976199,-2.949424028976199,-2.949424028976199,0.0,0.0,0.0,323.8425499570138
